name,maker,expirationDate,type
Sodium Fluoride,PureTek Corporation,2018/08/23,hamster
TITANIUM DIOXIDE,"Melaleuca, Inc.",2017/11/20,snake
lactulose,Cumberland Pharmaceuticals Inc.,2016/10/05,lizard
divalproex sodium,"Physicians Total Care, Inc.",2019/06/12,snake
DIMETHICONE,"Lansinoh Laboratories, Inc.",2019/03/24,snake
Isosorbide Dinitrate,Bryant Ranch Prepack,2017/05/31,snake
HYDROCORTISONE BUTYRATE,Onset Dermatologics LLC,2017/05/27,lizard
Acetaminophen,"Physicians Total Care, Inc.",2018/09/02,hamster
AMLODIPINE BESYLATE,KAISER FOUNDATION HOSPITALS,2019/10/22,bird
Sodium Chloride,REMEDYREPACK INC.,2017/09/10,hamster
Diphenhydramine Hydrochloride,"SIMPLY RIGHT (Sam's West, Inc.)",2019/06/24,snake
Buspirone hydrochloride,State of Florida DOH Central Pharmacy,2019/04/03,lizard
Ethyl Alcohol,"Soaptronic, LLC",2019/05/10,dog
Latanoprost,Bausch & Lomb Incorporated,2020/01/04,dog
anastrozole,"Kadmon Pharmaceuticals, LLC",2019/05/27,lizard
CHLOROPROCAINE HYDROCHLORIDE,"Fresenius Kabi USA, LLC",2019/01/14,dog
GLYCERIN,"AMI Cosmetic Co.,Ltd.",2020/04/25,bird
calcium carbonate,GlaxoSmithKline Consumer Heathcare LP,2016/11/25,snake
Azithromycin,AvPAK,2018/11/21,hamster
"Toothbrush, Toothpaste and Floss Kit","Donovan Industries, Inc.",2019/10/14,cat
Dimethicone,AN Co Ltd.,2017/07/14,bird
beta vulgaris pollen,"Allergy Laboratories, Inc.",2017/10/18,hamster
olmesartan medoxomil and hydrochlorothiazide,"Physicians Total Care, Inc.",2016/10/16,bird
Phenazopyridine Hydrochloride,"Northwind Pharmaceuticals, LLC",2020/04/12,bird
entacapone,Cardinal Health,2018/03/02,lizard
Metformin Hydrochloride,Sandoz Inc,2018/10/31,dog
meloxicam,"MedVantx, Inc.",2017/08/08,lizard
Salsalate,"Avion Pharmaceuticals, LLC",2019/05/15,lizard
"Acetaminophen, Chlorpheniramine maleate, Phenylephrine HCl",Sam's West Inc,2019/01/14,dog
Glimepiride,Accord Healthcare Inc,2019/10/23,lizard
Furosemide,Ranbaxy Pharmaceuticals Inc.,2018/02/04,hamster
Balancing Dynamics,JAFRA COSMETICS INTERNATIONAL,2020/05/06,dog
"Titanium Dioxide, Zinc Oxide, and Octinoxate",Ventura International LTD.,2019/01/01,bird
Alcohol,Hydrox Laboratories,2017/08/20,hamster
