date,time,description
2019/10/30,23,Baucau
2020/12/26,48,Zagoryanskiy
2019/10/15,89,Qarah Bāgh
2021/01/01,5,Kaset Wisai
2019/06/25,49,Tangyu
2020/03/19,5,Naprawa
2020/05/28,89,Limoeiro de Anadia
2020/12/24,34,Gustavsberg
2021/02/15,38,Ciampea
2019/07/29,37,Lysekil
2021/01/18,73,Dajabón
2020/03/02,7,Rzeszów
2019/09/16,33,Rio Covo
2020/11/11,92,Riobamba
2019/12/14,96,Bulakan
2019/06/28,96,Coruripe
2020/01/20,8,Zhentou
2020/08/13,27,Hargeysa
2021/03/23,35,Songyuan
2019/10/17,80,Cishan
2020/10/07,31,Sibulan
2020/10/26,2,Jinbo
2020/09/11,47,Lebahseri
2019/07/09,16,Mateus Leme
2019/12/14,33,Florencia
2021/04/28,81,Ualog
2019/07/20,44,Przybiernów
2020/09/06,100,Xilin Hot
2019/12/05,72,Cumanayagua
2021/04/09,19,Bekasi
2020/04/06,49,Biga
2020/07/21,81,Rio Grande da Serra
2021/05/20,38,Khrebtovaya
2019/11/06,80,Pergan
2020/06/28,15,Gobernador Costa
2019/12/23,55,Guangsheng
2020/03/09,89,Presnenskiy
2020/07/27,92,København
2019/12/04,60,Pavlivka
2020/02/22,29,Weifen
2020/04/15,90,Mokotów
2020/06/06,98,Moba
2020/07/14,47,Štitar
2021/04/09,4,Bankaw
2019/07/28,8,Yanwan
2020/06/05,85,Guoyuan
2021/03/14,44,Tecpán Guatemala
2020/09/27,88,Itaguaçu
2020/03/11,85,Fastovetskaya
2019/09/18,96,Jundiaí
2019/10/30,76,Jurangjero
2019/12/14,66,Cilolohan
2019/08/21,42,Siilinjärvi
2021/04/17,61,Jataí
2019/08/18,37,Baran
2019/11/28,78,5 de Mayo
2019/07/01,61,Sankt Lorenzen im Mürztal
2021/04/23,46,Karangranjong
2020/04/09,94,Abéché
2020/11/26,12,Solnechnyy
2020/12/24,82,Jombang
2020/04/19,87,Sam Khok
2020/03/19,99,Sukawening
2020/11/21,33,Ciranca
2020/02/26,4,Pomabamba
2021/05/23,94,Taibai
2019/09/26,76,Novi Karlovci
2021/02/05,75,Huangzhuang
2021/03/30,84,Teslić
2019/07/21,2,Maikawada
2019/09/24,20,Iksha
2019/12/29,36,Machala
2019/07/05,90,Amuru
2020/09/22,5,Zhangjiachang
2019/12/08,90,Agodim
2020/07/28,18,Tateyama
2021/03/22,66,Jatipamor
2020/01/30,81,Kota Trieng
2020/03/24,41,Miasteczko Śląskie
2019/09/26,75,Arroyo Seco
2020/08/06,90,Jintang
2020/08/09,24,Vakhtan
2021/02/24,41,Wufeng
2019/12/25,36,Zaandam
2019/08/18,92,Eyvān
2020/08/31,68,Radostowice
2020/01/11,3,Shuibatang
2020/11/15,75,Västerås
2019/11/03,65,Innoshima
2019/09/11,20,Hưng Yên
2019/06/30,66,Višnjevac
2020/11/16,71,Fangtian
2020/01/08,13,Macarse
2019/10/21,82,Timrat
2019/06/05,2,Ilinden
2019/09/18,15,Māmu Kānjan
2019/08/05,55,Shënmëri
2020/04/20,74,Luotang
2020/08/13,47,Lubenec
2020/07/20,45,Potchefstroom
